SampleGroup,Shannon_Index,lat,long
IPB24D-54,3.321928094887362,22.1,113.55
IPB24D-56,5.551730526435611,31.36,118.4
IPB24E-170,3.961409081041401,24.36,99.04
IPB24E-171,7.209081695794794,25.12,98.41
IPB24E-172,6.896337612038978,25.12,98.41
IPB24E-174,3.6980892768756624,23.11,107.55
IPB24E-175,6.021598379853423,22.49,99.69
IPB24E-177,4.715111376837558,22.49,99.69
IPB24E-179,6.217545329475891,25.26,98.84
IPB24E-180,5.576977058336784,21.63,100.24
IPB24E-181,4.3104430577190245,24.23,98.43
IPB24E-182,6.0852290770095046,23.0,101.96
IPB24E-183,4.489665460637066,23.31,99.33
IPB24E-188,6.87355114909655,24.44,97.54
IPB24E-189,4.208884070537636,23.64,99.55
IPB24E-191,3.9726251631428102,23.34,104.52
IPB24E-192,6.05142832417039,22.36,99.79
IPB24E-193,3.7204370141550895,24.36,99.04
IPB24E-194,7.513252461928437,24.23,98.43
IPB24E-195,4.438133203467362,23.0,101.96
IPB24E-196,6.655105726326499,22.36,99.79
IPB24E-197,6.34568404843561,22.36,99.79
IPB24E-198,5.002910079649727,22.74,99.82
IPB24E-199,4.011856671885066,22.49,99.69
IPB24E-200,6.066478776650143,22.45,99.69
IPB24G-202,6.670337429829749,25.12,98.41
IPB24G-203,7.773284765557392,25.12,98.41
IPB24G-204,6.267172581992386,25.12,98.41
IPB24G-206,6.022320043916844,21.63,100.24
IPB24G-207,5.062086647157523,25.47,105.02
IPB24G-209,6.825180743795351,25.84,105.26
IPB24G-210,4.46842619818549,25.91,105.17
IPB24G-211,4.113032199422442,25.79,104.96
IPB24G-212,4.47283105672003,25.69,102.37
IPB24G-213,5.712837366272352,26.44,102.49
IPB24G-214,5.942995333503252,26.67,102.18
IPB24G-215,6.326633413229422,24.89,104.41
IPB24G-216,5.142327113145802,28.13,103.05
IPB24G-217,4.588234139737389,28.12,103.14
IPB24G-218,6.805362891643614,26.15,105.88
IPB24G-219,4.480809578146661,24.89,104.41
IPB24G-220,4.299953785780215,25.79,104.96
IPB24G-221,5.219712891530091,24.89,104.41
IPB24G-222,5.539752049681602,25.84,105.26
IPB24G-223,5.456564762130954,25.47,105.02
IPB24G-224,6.965316749845772,24.89,104.41
IPB24G-225,4.2959904167911365,25.69,102.37
IPB24G-227,4.329650189799251,25.79,104.96
IPB24G-228,4.5270008226434895,26.67,102.18
IPB24G-229,6.8074952969114815,26.29,106.09
IPB24G-230,5.602945520364915,25.79,104.96
IPB24G-231,8.021270416214982,25.47,105.02
IPB24G-232,10.177242457767536,24.89,104.41
IPB24G-233,10.28054883718163,24.89,104.41
IPB24G-234,6.961443563462715,24.89,104.41
IPB24G-235,7.929303494968233,25.69,102.37
IPB24G-236,6.906385996411599,25.69,102.37
IPB24G-237,7.485402981629951,25.69,102.37
IPB24G-238,7.434583910216341,26.5,102.58
IPB24G-239,6.986396646599744,26.67,102.18
IPB24G-240,4.865813969039298,27.71,102.31
IPB24G-241,3.9249209928505033,28.08,103.14
IPB24H-129,0.0,29.91,110.07
IPB24H-133,6.162890436798799,30.66,110.74
IPB4B-1,3.875,21.38,110.15
IPB4B-13,4.859641000228757,25.28,110.36
IPB4B-14,4.515373345764894,25.28,110.36
IPB4B-15,2.40400975732486,25.18,110.26
IPB4B-16,5.247927513443585,25.18,110.26
IPB4B-17,2.321928094887362,24.51,117.65
IPB4B-18,6.0100629939780905,24.51,117.65
IPB4B-2,7.068692365953083,21.43,110.15
IPB4B-22,4.459431618637296,30.9,119.66
IPB4B-25,3.4992275471326924,25.72,116.89
IPB4B-36,5.297079327540665,21.38,110.16
IPB4B-4,5.413977073182752,23.04,114.63
IPB4B-43,5.20945336562895,25.71,116.75
IPB4B-5,3.5465935642949398,23.05,114.6
IPB4B-52,7.265806064632798,25.02,117.63
IPB4B-57,1.0,24.51,117.65
IPB4B-6,6.477698897781861,23.04,114.59
IPB4B-62,4.501629167387825,24.51,117.65
IPB4B-63,3.616874605956221,30.97,119.87
IPB4B-65,4.584962500721156,22.47,99.67
IPB4B-66,5.308771516813207,25.12,98.41
IPB4B-67,3.96981578242681,25.12,98.41
IPB4B-68,4.906890595608518,25.12,98.41
IPB4B-71,4.807354922057604,21.65,101.38
IPB4B-76,3.321928094887362,22.47,99.67
IPB4B-78,3.851227480952956,22.45,99.69
IPB4B-79,3.636842188131012,22.45,99.69
IPB4B-80,3.6089524533051063,22.45,99.69
IPB4B-83,4.321928094887363,25.12,98.41
IPB6D-12,4.684372827270737,23.06,106.19
IPB6D-3,5.538617527434145,21.63,107.63
IPB6D-5,7.785519557799678,21.79,107.83
IPB6D-6,7.4872225589289565,21.63,107.63
IPB6D-7,5.630418323891479,21.63,107.63
