Number,Season,Terrain,Species
S1404,Winter,Mountain,Rhinolophus pusillus
S1405,Winter,Mountain,Rhinolophus pusillus
S1406,Winter,Mountain,Rhinolophus pusillus
S1407,Winter,Mountain,Rhinolophus pusillus
S1408,Winter,Mountain,Rhinolophus pusillus
S1409,Winter,Mountain,Rhinolophus pusillus
S1410,Winter,Mountain,Rhinolophus pusillus
S1411,Winter,Mountain,Rhinolophus pusillus
S1412,Winter,Mountain,Rhinolophus pusillus
S1413,Winter,Mountain,Rhinolophus pusillus
S1414,Winter,Mountain,Rhinolophus pusillus
S1415,Winter,Mountain,Rhinolophus pusillus
S1416,Winter,Mountain,Rhinolophus pusillus
S1417,Winter,Mountain,Rhinolophus pusillus
S1418,Winter,Mountain,Rhinolophus pusillus
S1419,Winter,Mountain,Rhinolophus pusillus
S1420,Winter,Mountain,Rhinolophus pusillus
S1421,Winter,Mountain,Rhinolophus pusillus
S1422,Winter,Mountain,Rhinolophus pusillus
S1423,Winter,Mountain,Rhinolophus pusillus
S1424,Winter,Mountain,Rhinolophus pusillus
S1425,Winter,Mountain,Rhinolophus pusillus
S1426,Winter,Mountain,Rhinolophus pusillus
S1427,Winter,Mountain,Rhinolophus pusillus
S1428,Winter,Mountain,Rhinolophus pusillus
S1429,Winter,Mountain,Rhinolophus pusillus
S1430,Winter,Mountain,Rhinolophus pusillus
S1431,Winter,Mountain,Rhinolophus pusillus
S1432,Winter,Mountain,Rhinolophus pusillus
S1433,Winter,Mountain,Rhinolophus pusillus
S1434,Winter,Mountain,Rhinolophus pusillus
S1435,Winter,Mountain,Rhinolophus pusillus
S1436,Winter,Mountain,Rhinolophus pusillus
S1437,Winter,Mountain,Rhinolophus pusillus
S1438,Winter,Mountain,Rhinolophus pusillus
S1439,Winter,Mountain,Rhinolophus pusillus
S1440,Winter,Mountain,Rhinolophus pusillus
S1441,Winter,Mountain,Rhinolophus pusillus
S1442,Winter,Mountain,Rhinolophus pusillus
S1443,Winter,Mountain,Rhinolophus pusillus
S1444,Winter,Mountain,Rhinolophus pusillus
S1445,Winter,Mountain,Rhinolophus pusillus
S1446,Winter,Mountain,Rhinolophus pusillus
S1447,Winter,Mountain,Rhinolophus pusillus
S1448,Winter,Mountain,Rhinolophus pusillus
S1449,Winter,Mountain,Rhinolophus pusillus
S1450,Winter,Mountain,Rhinolophus pusillus
S1451,Winter,Mountain,Rhinolophus pusillus
S1452,Winter,Mountain,Rhinolophus pusillus
S1453,Winter,Mountain,Rhinolophus pusillus
S1454,Winter,Mountain,Rhinolophus pusillus
S1455,Winter,Mountain,Rhinolophus pusillus
S1456,Winter,Mountain,Rhinolophus pusillus
S1457,Winter,Mountain,Rhinolophus pusillus
S1458,Winter,Mountain,Rhinolophus pusillus
S1459,Winter,Mountain,Rhinolophus pusillus
S1460,Winter,Mountain,Rhinolophus pusillus
S1461,Winter,Mountain,Rhinolophus pusillus
S1462,Winter,Mountain,Rhinolophus pusillus
S1463,Winter,Mountain,Rhinolophus pusillus
S1464,Winter,Mountain,Rhinolophus pusillus
S1465,Winter,Mountain,Rhinolophus pusillus
S1466,Winter,Mountain,Rhinolophus pusillus
S1467,Winter,Mountain,Rhinolophus pusillus
S1468,Winter,Mountain,Rhinolophus pusillus
S1469,Winter,Mountain,Rhinolophus pusillus
S1470,Winter,Mountain,Rhinolophus pusillus
S1471,Winter,Plain,Rhinolophus pusillus
S1472,Winter,Plain,Rhinolophus pusillus
S1473,Winter,Mountain,Rhinolophus pusillus
S1474,Winter,Hill,Rhinolophus pusillus
S1475,Winter,Hill,Rhinolophus pusillus
S1476,Winter,Hill,Rhinolophus pusillus
S1477,Winter,Hill,Rhinolophus pusillus
S1478,Winter,Mountain,Rhinolophus pusillus
S1479,Winter,Mountain,Rhinolophus pusillus
S1480,Winter,Mountain,Rhinolophus pusillus
S1481,Winter,Mountain,Rhinolophus pusillus
S1482,Winter,Mountain,Rhinolophus paradoxolophus
S1483,Winter,Mountain,Rhinolophus rex
S1484,Winter,Mountain,Rhinolophus rex
S1485,Winter,Mountain,Rhinolophus rex
S1486,Winter,Mountain,Rhinolophus rex
S1487,Winter,Mountain,Rhinolophus rex
S1488,Winter,Mountain,Rhinolophus malayanus
S1489,Winter,Mountain,Rhinolophus malayanus
S1490,Winter,Mountain,Rhinolophus malayanus
S1491,Winter,Mountain,Rhinolophus malayanus
S1492,Winter,Mountain,Rhinolophus malayanus
S1493,Winter,Mountain,Rhinolophus malayanus
S1494,Winter,Mountain,Rhinolophus pearsonii
S1495,Winter,Mountain,Rhinolophus pearsonii
S1496,Winter,Mountain,Rhinolophus pearsonii
S1497,Winter,Mountain,Rhinolophus pearsonii
S1498,Winter,Mountain,Rhinolophus pearsonii
S1499,Winter,Mountain,Rhinolophus pearsonii
S1500,Winter,Mountain,Rhinolophus pearsonii
S1501,Winter,Mountain,Rhinolophus pearsonii
S1502,Winter,Mountain,Rhinolophus pearsonii
S1503,Winter,Mountain,Rhinolophus pearsonii
S1504,Winter,Mountain,Rhinolophus pearsonii
S1505,Winter,Mountain,Rhinolophus pearsonii
S1506,Winter,Mountain,Rhinolophus pearsonii
S1507,Winter,Mountain,Rhinolophus pearsonii
S1508,Winter,Mountain,Rhinolophus pearsonii
S1509,Winter,Mountain,Rhinolophus pearsonii
S1510,Winter,Mountain,Rhinolophus pearsonii
S1511,Winter,Mountain,Rhinolophus pearsonii
S1512,Winter,Mountain,Rhinolophus pearsonii
S1513,Winter,Mountain,Rhinolophus pearsonii
S1514,Winter,Mountain,Rhinolophus pearsonii
S1515,Winter,Mountain,Rhinolophus pearsonii
S1516,Winter,Mountain,Rhinolophus pearsonii
S1517,Winter,Mountain,Rhinolophus pearsonii
S1518,Winter,Mountain,Rhinolophus pearsonii
S1519,Winter,Mountain,Rhinolophus pearsonii
S1520,Winter,Mountain,Rhinolophus pearsonii
S1521,Winter,Mountain,Rhinolophus pearsonii
S1522,Winter,Mountain,Rhinolophus pearsonii
S1523,Winter,Mountain,Rhinolophus pearsonii
S1524,Winter,Mountain,Rhinolophus pearsonii
S1525,Winter,Mountain,Rhinolophus pearsonii
S1526,Winter,Mountain,Rhinolophus pearsonii
S1527,Winter,Mountain,Rhinolophus pearsonii
S1528,Winter,Mountain,Rhinolophus pearsonii
S1529,Winter,Mountain,Rhinolophus pearsonii
S1530,Winter,Mountain,Rhinolophus pearsonii
S1531,Winter,Mountain,Rhinolophus pearsonii
S1532,Winter,Mountain,Rhinolophus pearsonii
S1533,Winter,Mountain,Rhinolophus pearsonii
S1534,Winter,Mountain,Rhinolophus pearsonii
S1535,Winter,Mountain,Rhinolophus pearsonii
S1536,Winter,Hill,Rhinolophus pearsonii
S1537,Winter,Hill,Rhinolophus pearsonii
S1538,Winter,Hill,Rhinolophus pearsonii
S1539,Winter,Hill,Rhinolophus pearsonii
S1540,Winter,Hill,Rhinolophus pearsonii
S1541,Winter,Mountain,Rhinolophus pearsonii
S1542,Winter,Mountain,Rhinolophus pearsonii
S1543,Winter,Mountain,Rhinolophus pearsonii
S1544,Winter,Mountain,Rhinolophus pearsonii
S1545,Winter,Mountain,Rhinolophus pearsonii
S1546,Winter,Mountain,Rhinolophus pearsonii
S1547,Winter,Mountain,Rhinolophus pearsonii
S1548,Winter,Mountain,Rhinolophus pearsonii
S1549,Winter,Mountain,Rhinolophus pearsonii
S1550,Winter,Mountain,Rhinolophus pearsonii
S1551,Winter,Mountain,Rhinolophus pearsonii
S1552,Winter,Mountain,Rhinolophus pearsonii
S1553,Winter,Mountain,Rhinolophus pearsonii
S1554,Winter,Mountain,Rhinolophus siamensis
S1555,Winter,Mountain,Rhinolophus siamensis
S1556,Winter,Mountain,Rhinolophus siamensis
S1557,Winter,Mountain,Rhinolophus siamensis
S1558,Winter,Mountain,Rhinolophus siamensis
S1559,Winter,Mountain,Rhinolophus sinicus
S1560,Winter,Mountain,Rhinolophus sinicus
S1561,Winter,Mountain,Rhinolophus sinicus
S1562,Winter,Mountain,Rhinolophus sinicus
S1563,Winter,Mountain,Rhinolophus sinicus
S1564,Winter,Mountain,Rhinolophus sinicus
S1565,Winter,Mountain,Rhinolophus sinicus
S1566,Winter,Mountain,Rhinolophus sinicus
S1567,Winter,Mountain,Rhinolophus sinicus
S1568,Winter,Mountain,Rhinolophus sinicus
S1569,Winter,Mountain,Rhinolophus sinicus
S1570,Winter,Mountain,Rhinolophus sinicus
S1571,Winter,Mountain,Rhinolophus sinicus
S1572,Winter,Mountain,Rhinolophus sinicus
S1573,Winter,Mountain,Rhinolophus sinicus
S1574,Winter,Mountain,Rhinolophus sinicus
S1575,Winter,Mountain,Rhinolophus sinicus
S1576,Winter,Mountain,Rhinolophus sinicus
S1577,Winter,Mountain,Rhinolophus sinicus
S1578,Winter,Mountain,Rhinolophus sinicus
S1579,Winter,Mountain,Rhinolophus sinicus
S1580,Winter,Mountain,Rhinolophus sinicus
S1581,Winter,Mountain,Rhinolophus sinicus
S1582,Winter,Mountain,Rhinolophus sinicus
S1583,Winter,Mountain,Rhinolophus sinicus
S1584,Winter,Mountain,Rhinolophus sinicus
S1585,Winter,Mountain,Rhinolophus sinicus
S1586,Winter,Mountain,Rhinolophus sinicus
S1587,Winter,Mountain,Rhinolophus sinicus
S1588,Winter,Mountain,Rhinolophus sinicus
S1589,Winter,Mountain,Rhinolophus sinicus
S1590,Winter,Mountain,Rhinolophus sinicus
S1591,Winter,Mountain,Rhinolophus sinicus
S1592,Winter,Mountain,Rhinolophus sinicus
S1593,Winter,Mountain,Rhinolophus sinicus
S1594,Winter,Mountain,Rhinolophus sinicus
S1595,Winter,Mountain,Rhinolophus sinicus
S1596,Winter,Mountain,Rhinolophus sinicus
S1597,Winter,Mountain,Rhinolophus sinicus
S1598,Winter,Mountain,Rhinolophus sinicus
S1599,Winter,Mountain,Rhinolophus sinicus
S1600,Winter,Mountain,Rhinolophus sinicus
S1601,Winter,Mountain,Rhinolophus sinicus
S1602,Winter,Mountain,Rhinolophus sinicus
S1603,Winter,Mountain,Rhinolophus sinicus
S1604,Winter,Mountain,Rhinolophus sinicus
S1605,Winter,Mountain,Rhinolophus sinicus
S1606,Winter,Mountain,Rhinolophus sinicus
S1607,Winter,Mountain,Rhinolophus sinicus
S1608,Winter,Mountain,Rhinolophus sinicus
S1609,Winter,Mountain,Rhinolophus sinicus
S1610,Winter,Mountain,Rhinolophus sinicus
S1611,Winter,Mountain,Rhinolophus sinicus
S1612,Winter,Mountain,Rhinolophus sinicus
S1613,Winter,Mountain,Rhinolophus sinicus
S1614,Winter,Mountain,Rhinolophus sinicus
S1615,Winter,Mountain,Rhinolophus sinicus
S1616,Winter,Mountain,Rhinolophus sinicus
S1617,Winter,Mountain,Rhinolophus sinicus
S1618,Winter,Mountain,Rhinolophus sinicus
S1619,Winter,Mountain,Rhinolophus sinicus
S1620,Winter,Mountain,Rhinolophus sinicus
S1621,Winter,Mountain,Rhinolophus sinicus
S1622,Winter,Mountain,Rhinolophus sinicus
S1623,Winter,Mountain,Rhinolophus sinicus
S1624,Winter,Mountain,Rhinolophus sinicus
S1625,Winter,Mountain,Rhinolophus sinicus
S1626,Winter,Mountain,Rhinolophus sinicus
S1627,Winter,Mountain,Rhinolophus sinicus
S1628,Winter,Mountain,Rhinolophus sinicus
S1629,Winter,Mountain,Rhinolophus sinicus
S1630,Winter,Mountain,Rhinolophus sinicus
S1631,Winter,Mountain,Rhinolophus sinicus
S1632,Winter,Mountain,Rhinolophus sinicus
S1633,Winter,Mountain,Rhinolophus sinicus
S1634,Winter,Mountain,Rhinolophus sinicus
S1635,Winter,Mountain,Rhinolophus sinicus
S1636,Winter,Mountain,Rhinolophus sinicus
S1637,Winter,Mountain,Rhinolophus sinicus
S1638,Winter,Mountain,Rhinolophus sinicus
S1639,Winter,Mountain,Rhinolophus sinicus
S1640,Winter,Mountain,Rhinolophus sinicus
S1641,Winter,Mountain,Rhinolophus sinicus
S1642,Winter,Mountain,Rhinolophus sinicus
S1643,Winter,Mountain,Rhinolophus sinicus
S1644,Winter,Mountain,Rhinolophus sinicus
S1645,Winter,Mountain,Rhinolophus sinicus
S1646,Winter,Mountain,Rhinolophus sinicus
S1647,Winter,Mountain,Rhinolophus sinicus
S1648,Winter,Mountain,Rhinolophus sinicus
S1649,Winter,Mountain,Rhinolophus sinicus
S1650,Winter,Mountain,Rhinolophus sinicus
S1651,Winter,Mountain,Rhinolophus sinicus
S1652,Winter,Mountain,Rhinolophus sinicus
S1653,Winter,Mountain,Rhinolophus sinicus
S1654,Winter,Mountain,Rhinolophus sinicus
S1655,Winter,Mountain,Rhinolophus sinicus
S1656,Winter,Mountain,Rhinolophus sinicus
S1657,Winter,Mountain,Rhinolophus sinicus
S1658,Winter,Mountain,Rhinolophus sinicus
S1659,Winter,Mountain,Rhinolophus sinicus
S1660,Winter,Mountain,Rhinolophus sinicus
S1661,Winter,Mountain,Rhinolophus sinicus
S1662,Winter,Mountain,Rhinolophus sinicus
S1663,Winter,Mountain,Rhinolophus sinicus
S1664,Winter,Mountain,Rhinolophus sinicus
S1665,Winter,Mountain,Rhinolophus sinicus
S1666,Winter,Mountain,Rhinolophus sinicus
S1667,Winter,Mountain,Rhinolophus sinicus
S1668,Winter,Mountain,Rhinolophus sinicus
S1669,Winter,Mountain,Rhinolophus sinicus
S1670,Winter,Mountain,Rhinolophus sinicus
S1671,Winter,Mountain,Rhinolophus sinicus
S1672,Winter,Mountain,Rhinolophus sinicus
S1673,Winter,Mountain,Rhinolophus sinicus
S1674,Winter,Mountain,Rhinolophus sinicus
S1675,Winter,Mountain,Rhinolophus sinicus
S1676,Winter,Mountain,Rhinolophus sinicus
S1677,Winter,Mountain,Rhinolophus sinicus
S1678,Winter,Mountain,Rhinolophus sinicus
S1679,Winter,Mountain,Rhinolophus sinicus
S1680,Winter,Mountain,Rhinolophus sinicus
S1681,Winter,Mountain,Rhinolophus sinicus
S1682,Winter,Mountain,Rhinolophus sinicus
S1683,Winter,Mountain,Rhinolophus sinicus
S1684,Winter,Mountain,Rhinolophus sinicus
S1685,Winter,Mountain,Rhinolophus sinicus
S1686,Winter,Mountain,Rhinolophus sinicus
S1687,Winter,Mountain,Rhinolophus sinicus
S1688,Winter,Mountain,Rhinolophus sinicus
S1689,Winter,Mountain,Rhinolophus sinicus
S1690,Winter,Mountain,Rhinolophus sinicus
S1691,Winter,Mountain,Rhinolophus sinicus
S1692,Winter,Mountain,Rhinolophus sinicus
S1693,Winter,Mountain,Rhinolophus sinicus
S1694,Winter,Mountain,Rhinolophus sinicus
S1695,Winter,Mountain,Rhinolophus sinicus
S1696,Winter,Mountain,Rhinolophus sinicus
S1697,Winter,Mountain,Rhinolophus sinicus
S1698,Winter,Mountain,Rhinolophus sinicus
S1699,Winter,Mountain,Rhinolophus sinicus
S1700,Winter,Mountain,Rhinolophus sinicus
S1701,Winter,Mountain,Rhinolophus sinicus
S1702,Winter,Mountain,Rhinolophus sinicus
S1703,Winter,Mountain,Rhinolophus sinicus
S1704,Winter,Mountain,Rhinolophus sinicus
S1705,Winter,Mountain,Rhinolophus sinicus
S1706,Winter,Mountain,Rhinolophus sinicus
S1707,Winter,Mountain,Rhinolophus sinicus
S1708,Winter,Mountain,Rhinolophus sinicus
S1709,Winter,Mountain,Rhinolophus sinicus
S1710,Winter,Mountain,Rhinolophus sinicus
S1711,Winter,Mountain,Rhinolophus sinicus
S1712,Winter,Mountain,Rhinolophus sinicus
S1713,Winter,Mountain,Rhinolophus sinicus
S1714,Winter,Mountain,Rhinolophus sinicus
S1715,Winter,Mountain,Rhinolophus sinicus
S1716,Winter,Mountain,Rhinolophus sinicus
S1717,Winter,Mountain,Rhinolophus sinicus
S1718,Winter,Mountain,Rhinolophus sinicus
S1719,Winter,Mountain,Rhinolophus sinicus
S1720,Winter,Mountain,Rhinolophus sinicus
S1721,Winter,Mountain,Rhinolophus sinicus
S1722,Winter,Mountain,Rhinolophus sinicus
S1723,Winter,Mountain,Rhinolophus sinicus
S1724,Winter,Mountain,Rhinolophus sinicus
S1725,Winter,Mountain,Rhinolophus sinicus
S1726,Winter,Mountain,Rhinolophus sinicus
S1727,Winter,Mountain,Rhinolophus sinicus
S1728,Winter,Mountain,Rhinolophus sinicus
S1729,Winter,Mountain,Rhinolophus sinicus
S1730,Winter,Mountain,Rhinolophus sinicus
S1731,Winter,Mountain,Rhinolophus affinis
S1732,Winter,Mountain,Rhinolophus affinis
S1733,Winter,Mountain,Rhinolophus affinis
S1734,Winter,Mountain,Rhinolophus affinis
S1735,Winter,Mountain,Rhinolophus affinis
S1736,Winter,Mountain,Rhinolophus affinis
S1737,Winter,Mountain,Rhinolophus affinis
S1738,Winter,Mountain,Rhinolophus affinis
S1739,Winter,Mountain,Rhinolophus affinis
S1740,Winter,Mountain,Rhinolophus affinis
S1741,Winter,Mountain,Rhinolophus affinis
S1742,Winter,Mountain,Rhinolophus affinis
S1743,Winter,Mountain,Rhinolophus affinis
S1744,Winter,Mountain,Rhinolophus affinis
S1745,Winter,Mountain,Rhinolophus affinis
S1746,Winter,Mountain,Rhinolophus affinis
S1747,Winter,Mountain,Rhinolophus affinis
S1748,Winter,Mountain,Rhinolophus affinis
S1749,Winter,Mountain,Rhinolophus affinis
S1750,Winter,Mountain,Rhinolophus affinis
S1751,Winter,Mountain,Rhinolophus affinis
S1752,Winter,Mountain,Rhinolophus affinis
S1753,Winter,Mountain,Rhinolophus affinis
S1754,Winter,Mountain,Rhinolophus affinis
S1755,Winter,Mountain,Rhinolophus affinis
S1756,Winter,Mountain,Rhinolophus affinis
S1757,Winter,Mountain,Rhinolophus affinis
S1758,Winter,Mountain,Rhinolophus affinis
S1759,Winter,Mountain,Rhinolophus affinis
S1760,Winter,Mountain,Rhinolophus affinis
S1761,Winter,Mountain,Rhinolophus affinis
S1762,Winter,Mountain,Rhinolophus affinis
S1763,Winter,Mountain,Rhinolophus affinis
S1764,Winter,Mountain,Rhinolophus affinis
S1765,Winter,Mountain,Rhinolophus affinis
S1766,Winter,Mountain,Rhinolophus affinis
S1767,Winter,Mountain,Rhinolophus affinis
S1768,Winter,Mountain,Rhinolophus affinis
S1769,Winter,Mountain,Rhinolophus affinis
S1770,Winter,Mountain,Rhinolophus affinis
S1771,Winter,Mountain,Aselliscus stoliczkanus
S1772,Winter,Mountain,Hipposideros cineraceus
S1773,Winter,Mountain,Hipposideros cineraceus
S1774,Winter,Mountain,Hipposideros armiger
S1775,Winter,Mountain,Hipposideros armiger
S1776,Winter,Mountain,Hipposideros armiger
S1777,Winter,Mountain,Aselliscus stoliczkanus
S1778,Winter,Mountain,Aselliscus stoliczkanus
S1779,Winter,Mountain,Aselliscus stoliczkanus
S1780,Winter,Mountain,Rhinolophus affinis
S1781,Winter,Mountain,Rhinolophus pusillus
S1782,Winter,Mountain,Rhinolophus pusillus
S1783,Winter,Plain,Rhinolophus pusillus
S1784,Winter,Mountain,Rhinolophus pusillus
S1785,Winter,Mountain,Rhinolophus pusillus
S1786,Winter,Mountain,Rhinolophus pusillus
S1787,Winter,Mountain,Rhinolophus pusillus
S1788,Winter,Mountain,Rhinolophus pusillus
S1789,Winter,Mountain,Rhinolophus pusillus
S1790,Winter,Mountain,Rhinolophus pusillus
S1791,Winter,Mountain,Rhinolophus pusillus
S1792,Winter,Mountain,Rhinolophus pusillus
S1793,Winter,Mountain,Rhinolophus pusillus
S1794,Winter,Mountain,Rhinolophus sinicus
S1795,Winter,Mountain,Rhinolophus sinicus
S1796,Winter,Mountain,Rhinolophus sinicus
S1797,Winter,Mountain,Rhinolophus sinicus
S1798,Winter,Mountain,Rhinolophus sinicus
S1799,Winter,Mountain,Rhinolophus sinicus
S1800,Winter,Mountain,Rhinolophus sinicus
S1801,Winter,Mountain,Rhinolophus sinicus
S1802,Winter,Mountain,Rhinolophus sinicus
S1803,Winter,Mountain,Rhinolophus sinicus
S1804,Winter,Mountain,Rhinolophus sinicus
S1805,Winter,Mountain,Rhinolophus sinicus
S1806,Winter,Mountain,Rhinolophus sinicus
S1807,Winter,Mountain,Rhinolophus sinicus
S1808,Winter,Mountain,Rhinolophus sinicus
S1809,Winter,Mountain,Rhinolophus sinicus
S1810,Winter,Mountain,Rhinolophus sinicus
S1811,Winter,Mountain,Rhinolophus sinicus
S1812,Winter,Mountain,Rhinolophus sinicus
S1813,Winter,Mountain,Rhinolophus sinicus
S1814,Winter,Mountain,Rhinolophus sinicus
S1815,Winter,Mountain,Rhinolophus sinicus
S1816,Winter,Mountain,Rhinolophus sinicus
S1817,Winter,Mountain,Rhinolophus sinicus
S1818,Winter,Mountain,Rhinolophus sinicus
S1819,Winter,Mountain,Rhinolophus sinicus
S1820,Winter,Mountain,Rhinolophus sinicus
S1821,Winter,Mountain,Rhinolophus sinicus
S1822,Winter,Mountain,Rhinolophus sinicus
S1823,Winter,Mountain,Rhinolophus sinicus
S1824,Winter,Mountain,Rhinolophus sinicus
S1825,Winter,Mountain,Rhinolophus sinicus
S1826,Winter,Mountain,Rhinolophus sinicus
S1827,Winter,Mountain,Rhinolophus sinicus
S1828,Winter,Mountain,Rhinolophus sinicus
S1829,Winter,Mountain,Rhinolophus sinicus
S1830,Winter,Mountain,Rhinolophus sinicus
S1831,Winter,Mountain,Rhinolophus sinicus
S1832,Winter,Mountain,Rhinolophus sinicus
S1833,Winter,Mountain,Rhinolophus sinicus
S1834,Winter,Mountain,Rhinolophus sinicus
S1835,Winter,Mountain,Rhinolophus sinicus
S1836,Winter,Mountain,Rhinolophus sinicus
S1837,Winter,Mountain,Rhinolophus sinicus
S1838,Winter,Mountain,Rhinolophus sinicus
S1839,Winter,Mountain,Rhinolophus sinicus
S1840,Winter,Mountain,Rhinolophus sinicus
S1841,Winter,Mountain,Rhinolophus sinicus
S1842,Winter,Mountain,Rhinolophus sinicus
S1843,Winter,Mountain,Rhinolophus sinicus
S1844,Winter,Mountain,Rhinolophus sinicus
S1845,Winter,Mountain,Rhinolophus sinicus
S1846,Winter,Mountain,Rhinolophus sinicus
S1847,Winter,Mountain,Rhinolophus sinicus
S1848,Winter,Mountain,Rhinolophus sinicus
S1849,Winter,Mountain,Rhinolophus sinicus
S1850,Winter,Mountain,Rhinolophus sinicus
S1851,Winter,Mountain,Rhinolophus sinicus
S1852,Winter,Mountain,Rhinolophus sinicus
S1853,Winter,Mountain,Rhinolophus sinicus
S1854,Winter,Mountain,Rhinolophus sinicus
S1855,Winter,Mountain,Rhinolophus sinicus
S1856,Winter,Mountain,Rhinolophus sinicus
S1857,Winter,Mountain,Rhinolophus sinicus
S1858,Winter,Mountain,Rhinolophus sinicus
S1859,Winter,Mountain,Rhinolophus sinicus
S1860,Winter,Mountain,Rhinolophus sinicus
S1861,Winter,Mountain,Rhinolophus sinicus
S1862,Winter,Mountain,Rhinolophus sinicus
S1863,Winter,Mountain,Rhinolophus sinicus
S1864,Winter,Mountain,Rhinolophus affinis
S1865,Winter,Mountain,Rhinolophus affinis
S1866,Winter,Mountain,Rhinolophus affinis
S1867,Winter,Mountain,Rhinolophus affinis
S1868,Winter,Mountain,Rhinolophus affinis
S1869,Winter,Mountain,Rhinolophus affinis
S1870,Winter,Mountain,Rhinolophus affinis
S1871,Winter,Mountain,Rhinolophus affinis
S1872,Winter,Mountain,Rhinolophus affinis
S1873,Winter,Mountain,Rhinolophus affinis
S1874,Winter,Mountain,Rhinolophus affinis
S1875,Winter,Mountain,Rhinolophus affinis
S1876,Winter,Mountain,Rhinolophus affinis
S1877,Winter,Mountain,Rhinolophus affinis
S1878,Winter,Mountain,Rhinolophus affinis
S1879,Winter,Mountain,Rhinolophus affinis
S1880,Winter,Mountain,Rhinolophus affinis
S1881,Winter,Mountain,Rhinolophus affinis
S1882,Winter,Mountain,Rhinolophus affinis
S1883,Winter,Mountain,Rhinolophus affinis
S1884,Winter,Mountain,Rhinolophus affinis
S1885,Winter,Mountain,Rhinolophus affinis
S1886,Winter,Mountain,Rhinolophus affinis
S1887,Winter,Mountain,Rhinolophus affinis
S1888,Winter,Mountain,Rhinolophus affinis
S1889,Winter,Mountain,Rhinolophus affinis
S1890,Winter,Mountain,Rhinolophus affinis
S1891,Winter,Mountain,Rhinolophus affinis
S1892,Winter,Mountain,Rhinolophus affinis
S1893,Winter,Mountain,Rhinolophus affinis
S1894,Winter,Mountain,Rhinolophus affinis
S1895,Winter,Mountain,Rhinolophus affinis
S1896,Winter,Mountain,Rhinolophus affinis
S1897,Winter,Mountain,Rhinolophus affinis
S1898,Winter,Mountain,Rhinolophus affinis
S1899,Winter,Mountain,Rhinolophus affinis
S1900,Winter,Mountain,Rhinolophus affinis
S1901,Winter,Mountain,Rhinolophus affinis
S1902,Winter,Mountain,Rhinolophus affinis
S1903,Winter,Mountain,Rhinolophus affinis
S1904,Winter,Mountain,Rhinolophus affinis
S1905,Winter,Mountain,Rhinolophus affinis
S1906,Winter,Mountain,Rhinolophus affinis
S1907,Winter,Mountain,Rhinolophus affinis
S1908,Winter,Mountain,Rhinolophus affinis
S1909,Winter,Mountain,Rhinolophus affinis
S1910,Winter,Mountain,Rhinolophus affinis
S1911,Winter,Mountain,Rhinolophus affinis
S1912,Winter,Mountain,Rhinolophus pearsonii
S1913,Winter,Mountain,Rhinolophus pearsonii
S1914,Winter,Mountain,Rhinolophus pearsonii
S1915,Winter,Mountain,Rhinolophus pearsonii
S1916,Winter,Mountain,Rhinolophus pearsonii
S1917,Winter,Mountain,Rhinolophus pearsonii
S1918,Winter,Mountain,Rhinolophus pearsonii
S1919,Winter,Mountain,Rhinolophus pearsonii
S1920,Winter,Hill,Rhinolophus pearsonii
S1921,Winter,Hill,Rhinolophus pearsonii
S1922,Winter,Hill,Rhinolophus pearsonii
S1923,Winter,Hill,Rhinolophus pearsonii
S1924,Winter,Mountain,Rhinolophus pearsonii
S1925,Winter,Mountain,Rhinolophus pearsonii
S1926,Winter,Plain,Rhinolophus pearsonii
S1927,Winter,Plain,Rhinolophus pearsonii
S1928,Winter,Mountain,Rhinolophus pearsonii
S1929,Spring,Hill,Rhinolophus pearsonii
S1930,Spring,Hill,Rhinolophus pearsonii
S1931,Winter,Mountain,Rhinolophus pusillus
S1932,Winter,Mountain,Rhinolophus pusillus
S1933,Winter,Mountain,Rhinolophus pusillus
S1934,Winter,Mountain,Rhinolophus pusillus
S1935,Winter,Mountain,Rhinolophus pusillus
S1936,Winter,Mountain,Rhinolophus pusillus
S1937,Winter,Mountain,Rhinolophus pusillus
S1938,Winter,Mountain,Rhinolophus pusillus
S1939,Winter,Mountain,Rhinolophus pusillus
S1940,Winter,Mountain,Rhinolophus pusillus
S1941,Winter,Plain,Rhinolophus pusillus
S1942,Winter,Plain,Rhinolophus pusillus
S1943,Spring,Hill,Rhinolophus pusillus
S1944,Spring,Hill,Rhinolophus pusillus
S1945,Spring,Hill,Rhinolophus pusillus
S1946,Winter,Mountain,Rhinolophus rex
S1947,Winter,Mountain,Rhinolophus rex
S1948,Winter,Plain,Rhinolophus rex
S1949,Winter,Mountain,Rhinolophus siamensis
S1950,Winter,Plain,Rhinolophus siamensis
S1951,Winter,Mountain,Myotis lucifugus
S1952,Summer,Mountain,Rhinolophus pusillus
S1953,Summer,Mountain,Rhinolophus pearsonii
S1954,Summer,Mountain,Rhinolophus pearsonii
S1955,Summer,Mountain,Rhinolophus pearsonii
S1956,Summer,Mountain,Rhinolophus pearsonii
S1957,Summer,Mountain,Rhinolophus pearsonii
S1958,Summer,Mountain,Rhinolophus pearsonii
S1959,Summer,Mountain,Rhinolophus pearsonii
S1960,Summer,Mountain,Rhinolophus pearsonii
S1961,Summer,Mountain,Rhinolophus pearsonii
S1962,Summer,Mountain,Rhinolophus pearsonii
S1963,Summer,Mountain,Rhinolophus pearsonii
