Cluster_ID,host
Cluster2079,Cynopterus sphinx
Cluster2305,Cynopterus sphinx
Cluster2481,Cynopterus sphinx
Cluster2676,Cynopterus sphinx
Cluster2940,Cynopterus sphinx
Cluster3494,Cynopterus sphinx
Cluster4373,Cynopterus sphinx
Cluster4531,Cynopterus sphinx
Cluster4792,Cynopterus sphinx
Cluster5615,Cynopterus sphinx
Cluster6204,Cynopterus sphinx
Cluster6324,Cynopterus sphinx
Cluster6920,Cynopterus sphinx
Cluster8112,Cynopterus sphinx
Cluster8982,Cynopterus sphinx
Cluster9263,Cynopterus sphinx
Cluster9354,Cynopterus sphinx
Cluster9782,Cynopterus sphinx
Cluster12726,Cynopterus sphinx
Cluster12906,Cynopterus sphinx
Cluster68,Eptesicus serotinus
Cluster69,Eptesicus serotinus
Cluster70,Eptesicus serotinus
Cluster73,Eptesicus serotinus
Cluster88,Eptesicus serotinus
Cluster122,Eptesicus serotinus
Cluster133,Eptesicus serotinus
Cluster157,Eptesicus serotinus
Cluster189,Eptesicus serotinus
Cluster191,Eptesicus serotinus
Cluster215,Eptesicus serotinus
Cluster230,Eptesicus serotinus
Cluster255,Eptesicus serotinus
Cluster257,Eptesicus serotinus
Cluster267,Eptesicus serotinus
Cluster299,Eptesicus serotinus
Cluster306,Eptesicus serotinus
Cluster311,Eptesicus serotinus
Cluster314,Eptesicus serotinus
Cluster318,Eptesicus serotinus
Cluster323,Eptesicus serotinus
Cluster340,Eptesicus serotinus
Cluster357,Eptesicus serotinus
Cluster363,Eptesicus serotinus
Cluster365,Eptesicus serotinus
Cluster379,Eptesicus serotinus
Cluster387,Eptesicus serotinus
Cluster389,Eptesicus serotinus
Cluster401,Eptesicus serotinus
Cluster408,Eptesicus serotinus
Cluster412,Eptesicus serotinus
Cluster418,Eptesicus serotinus
Cluster419,Eptesicus serotinus
Cluster434,Eptesicus serotinus
Cluster436,Eptesicus serotinus
Cluster448,Eptesicus serotinus
Cluster483,Eptesicus serotinus
Cluster496,Eptesicus serotinus
Cluster499,Eptesicus serotinus
Cluster501,Eptesicus serotinus
Cluster573,Eptesicus serotinus
Cluster604,Eptesicus serotinus
Cluster607,Eptesicus serotinus
Cluster614,Eptesicus serotinus
Cluster616,Eptesicus serotinus
Cluster639,Eptesicus serotinus
Cluster640,Eptesicus serotinus
Cluster649,Eptesicus serotinus
Cluster652,Eptesicus serotinus
Cluster665,Eptesicus serotinus
Cluster693,Eptesicus serotinus
Cluster704,Eptesicus serotinus
Cluster705,Eptesicus serotinus
Cluster716,Eptesicus serotinus
Cluster725,Eptesicus serotinus
Cluster747,Eptesicus serotinus
Cluster784,Eptesicus serotinus
Cluster833,Eptesicus serotinus
Cluster845,Eptesicus serotinus
Cluster865,Eptesicus serotinus
Cluster898,Eptesicus serotinus
Cluster903,Eptesicus serotinus
Cluster906,Eptesicus serotinus
Cluster926,Eptesicus serotinus
Cluster927,Eptesicus serotinus
Cluster933,Eptesicus serotinus
Cluster937,Eptesicus serotinus
Cluster949,Eptesicus serotinus
Cluster977,Eptesicus serotinus
Cluster980,Eptesicus serotinus
Cluster984,Eptesicus serotinus
Cluster990,Eptesicus serotinus
Cluster1001,Eptesicus serotinus
Cluster1033,Eptesicus serotinus
Cluster1037,Eptesicus serotinus
Cluster1039,Eptesicus serotinus
