Cluster_ID,host
Cluster3573,Myotis horsfieldii
Cluster3624,Myotis horsfieldii
Cluster3687,Myotis horsfieldii
Cluster3758,Myotis horsfieldii
Cluster3804,Myotis horsfieldii
Cluster3893,Myotis horsfieldii
Cluster3896,Myotis horsfieldii
Cluster4054,Myotis horsfieldii
Cluster4079,Myotis horsfieldii
Cluster4083,Myotis horsfieldii
Cluster4128,Myotis horsfieldii
Cluster4152,Myotis horsfieldii
Cluster4163,Myotis horsfieldii
Cluster4252,Myotis horsfieldii
Cluster4256,Myotis horsfieldii
Cluster4261,Myotis horsfieldii
Cluster4275,Myotis horsfieldii
Cluster4308,Myotis horsfieldii
Cluster4329,Myotis horsfieldii
Cluster4332,Myotis horsfieldii
Cluster4358,Myotis horsfieldii
Cluster4451,Myotis horsfieldii
Cluster4559,Myotis horsfieldii
Cluster4594,Myotis horsfieldii
Cluster4608,Myotis horsfieldii
Cluster4757,Myotis horsfieldii
Cluster4821,Myotis horsfieldii
Cluster4859,Myotis horsfieldii
Cluster4886,Myotis horsfieldii
Cluster5069,Myotis horsfieldii
Cluster5087,Myotis horsfieldii
Cluster5140,Myotis horsfieldii
Cluster5159,Myotis horsfieldii
Cluster5205,Myotis horsfieldii
Cluster5251,Myotis horsfieldii
Cluster5257,Myotis horsfieldii
Cluster5300,Myotis horsfieldii
Cluster5329,Myotis horsfieldii
Cluster5335,Myotis horsfieldii
Cluster5379,Myotis horsfieldii
Cluster5393,Myotis horsfieldii
Cluster5474,Myotis horsfieldii
Cluster5499,Myotis horsfieldii
Cluster5577,Myotis horsfieldii
Cluster5579,Myotis horsfieldii
Cluster5635,Myotis horsfieldii
Cluster5708,Myotis horsfieldii
Cluster5715,Myotis horsfieldii
Cluster5801,Myotis horsfieldii
Cluster5987,Myotis horsfieldii
Cluster5991,Myotis horsfieldii
Cluster6083,Myotis horsfieldii
Cluster6110,Myotis horsfieldii
Cluster6164,Myotis horsfieldii
Cluster6175,Myotis horsfieldii
Cluster6249,Myotis horsfieldii
Cluster6275,Myotis horsfieldii
Cluster6293,Myotis horsfieldii
Cluster6374,Myotis horsfieldii
Cluster6382,Myotis horsfieldii
Cluster6407,Myotis horsfieldii
Cluster6491,Myotis horsfieldii
Cluster6582,Myotis horsfieldii
Cluster6633,Myotis horsfieldii
Cluster6659,Myotis horsfieldii
Cluster6773,Myotis horsfieldii
Cluster6940,Myotis horsfieldii
Cluster6947,Myotis horsfieldii
Cluster7023,Myotis horsfieldii
Cluster7046,Myotis horsfieldii
Cluster7104,Myotis horsfieldii
Cluster7114,Myotis horsfieldii
Cluster7199,Myotis horsfieldii
Cluster7228,Myotis horsfieldii
Cluster7265,Myotis horsfieldii
Cluster7293,Myotis horsfieldii
Cluster7298,Myotis horsfieldii
Cluster7309,Myotis horsfieldii
Cluster7409,Myotis horsfieldii
Cluster7526,Myotis horsfieldii
Cluster7576,Myotis horsfieldii
Cluster7599,Myotis horsfieldii
Cluster7604,Myotis horsfieldii
Cluster7709,Myotis horsfieldii
Cluster7744,Myotis horsfieldii
Cluster7778,Myotis horsfieldii
Cluster7831,Myotis horsfieldii
Cluster7846,Myotis horsfieldii
Cluster7864,Myotis horsfieldii
Cluster7991,Myotis horsfieldii
Cluster8051,Myotis horsfieldii
Cluster8075,Myotis horsfieldii
Cluster8095,Myotis horsfieldii
Cluster8145,Myotis horsfieldii
Cluster8208,Myotis horsfieldii
Cluster8227,Myotis horsfieldii
Cluster8322,Myotis horsfieldii
Cluster8386,Myotis horsfieldii
Cluster8396,Myotis horsfieldii
Cluster8407,Myotis horsfieldii
Cluster8422,Myotis horsfieldii
Cluster8452,Myotis horsfieldii
Cluster8476,Myotis horsfieldii
Cluster8517,Myotis horsfieldii
Cluster8534,Myotis horsfieldii
Cluster8538,Myotis horsfieldii
Cluster8559,Myotis horsfieldii
Cluster8577,Myotis horsfieldii
Cluster8614,Myotis horsfieldii
Cluster8736,Myotis horsfieldii
Cluster8874,Myotis horsfieldii
Cluster8894,Myotis horsfieldii
Cluster8968,Myotis horsfieldii
Cluster8989,Myotis horsfieldii
Cluster9143,Myotis horsfieldii
Cluster9161,Myotis horsfieldii
Cluster9308,Myotis horsfieldii
Cluster9431,Myotis horsfieldii
Cluster9444,Myotis horsfieldii
Cluster9535,Myotis horsfieldii
Cluster9545,Myotis horsfieldii
Cluster9641,Myotis horsfieldii
Cluster9775,Myotis horsfieldii
Cluster9794,Myotis horsfieldii
Cluster9895,Myotis horsfieldii
Cluster9906,Myotis horsfieldii
Cluster10079,Myotis horsfieldii
Cluster10097,Myotis horsfieldii
Cluster10190,Myotis horsfieldii
Cluster10244,Myotis horsfieldii
Cluster10257,Myotis horsfieldii
Cluster10303,Myotis horsfieldii
Cluster10320,Myotis horsfieldii
Cluster10321,Myotis horsfieldii
Cluster10329,Myotis horsfieldii
Cluster10331,Myotis horsfieldii
Cluster10385,Myotis horsfieldii
Cluster10421,Myotis horsfieldii
Cluster10442,Myotis horsfieldii
Cluster10445,Myotis horsfieldii
Cluster10491,Myotis horsfieldii
Cluster10579,Myotis horsfieldii
Cluster10605,Myotis horsfieldii
Cluster10649,Myotis horsfieldii
Cluster10653,Myotis horsfieldii
Cluster10725,Myotis horsfieldii
Cluster10841,Myotis horsfieldii
Cluster10852,Myotis horsfieldii
Cluster10899,Myotis horsfieldii
Cluster10986,Myotis horsfieldii
Cluster11074,Myotis horsfieldii
Cluster11111,Myotis horsfieldii
Cluster11115,Myotis horsfieldii
Cluster11306,Myotis horsfieldii
Cluster11398,Myotis horsfieldii
Cluster11407,Myotis horsfieldii
Cluster11409,Myotis horsfieldii
Cluster11519,Myotis horsfieldii
Cluster11582,Myotis horsfieldii
Cluster11672,Myotis horsfieldii
Cluster11763,Myotis horsfieldii
Cluster11764,Myotis horsfieldii
Cluster11932,Myotis horsfieldii
Cluster11999,Myotis horsfieldii
Cluster12036,Myotis horsfieldii
Cluster12068,Myotis horsfieldii
Cluster12155,Myotis horsfieldii
Cluster12206,Myotis horsfieldii
Cluster12221,Myotis horsfieldii
Cluster12264,Myotis horsfieldii
Cluster12331,Myotis horsfieldii
Cluster12385,Myotis horsfieldii
Cluster12420,Myotis horsfieldii
Cluster12435,Myotis horsfieldii
Cluster12457,Myotis horsfieldii
Cluster12567,Myotis horsfieldii
Cluster12568,Myotis horsfieldii
Cluster12605,Myotis horsfieldii
Cluster12669,Myotis horsfieldii
Cluster12717,Myotis horsfieldii
Cluster12762,Myotis horsfieldii
Cluster12783,Myotis horsfieldii
Cluster12905,Myotis horsfieldii
Cluster12928,Myotis horsfieldii
Cluster263,Myotis indochinensis
Cluster451,Myotis indochinensis
Cluster548,Myotis indochinensis
Cluster1598,Myotis indochinensis
Cluster2542,Myotis indochinensis
Cluster3661,Myotis indochinensis
Cluster5533,Myotis indochinensis
Cluster5862,Myotis indochinensis
Cluster7089,Myotis indochinensis
Cluster7519,Myotis indochinensis
Cluster8966,Myotis indochinensis
Cluster9580,Myotis indochinensis
Cluster9725,Myotis indochinensis
Cluster10972,Myotis indochinensis
Cluster11023,Myotis indochinensis
Cluster12266,Myotis indochinensis
Cluster12362,Myotis indochinensis
Cluster2692,Myotis laniger
Cluster2709,Myotis laniger
Cluster5269,Myotis laniger
Cluster6419,Myotis laniger
Cluster6786,Myotis laniger
Cluster7606,Myotis laniger
Cluster7686,Myotis laniger
Cluster8332,Myotis laniger
Cluster9486,Myotis laniger
Cluster9724,Myotis laniger
Cluster10654,Myotis laniger
Cluster11590,Myotis laniger
Cluster11673,Myotis laniger
Cluster11911,Myotis laniger
Cluster0,Myotis lucifugus
Cluster2,Myotis lucifugus
Cluster3,Myotis lucifugus
Cluster4,Myotis lucifugus
Cluster8,Myotis lucifugus
Cluster9,Myotis lucifugus
Cluster13,Myotis lucifugus
Cluster14,Myotis lucifugus
Cluster43,Myotis lucifugus
Cluster53,Myotis lucifugus
Cluster80,Myotis lucifugus
Cluster119,Myotis lucifugus
Cluster132,Myotis lucifugus
Cluster311,Myotis lucifugus
Cluster335,Myotis lucifugus
Cluster360,Myotis lucifugus
Cluster695,Myotis lucifugus
Cluster1245,Myotis lucifugus
Cluster2106,Myotis lucifugus
Cluster3008,Myotis lucifugus
Cluster3386,Myotis lucifugus
Cluster4189,Myotis lucifugus
Cluster4802,Myotis lucifugus
Cluster6223,Myotis lucifugus
Cluster7024,Myotis lucifugus
Cluster8340,Myotis lucifugus
Cluster8860,Myotis lucifugus
Cluster9400,Myotis lucifugus
Cluster9797,Myotis lucifugus
Cluster10050,Myotis lucifugus
Cluster10161,Myotis lucifugus
Cluster10251,Myotis lucifugus
Cluster11665,Myotis lucifugus
Cluster11689,Myotis lucifugus
Cluster11943,Myotis lucifugus
Cluster115,Myotis ricketti
Cluster332,Myotis ricketti
Cluster435,Myotis ricketti
Cluster449,Myotis ricketti
Cluster561,Myotis ricketti
Cluster566,Myotis ricketti
Cluster644,Myotis ricketti
Cluster816,Myotis ricketti
Cluster963,Myotis ricketti
Cluster981,Myotis ricketti
Cluster990,Myotis ricketti
Cluster1096,Myotis ricketti
Cluster1164,Myotis ricketti
Cluster1186,Myotis ricketti
Cluster1215,Myotis ricketti
Cluster1243,Myotis ricketti
Cluster1265,Myotis ricketti
Cluster1300,Myotis ricketti
Cluster1304,Myotis ricketti
Cluster1326,Myotis ricketti
Cluster1330,Myotis ricketti
Cluster1353,Myotis ricketti
Cluster1392,Myotis ricketti
Cluster1396,Myotis ricketti
Cluster1401,Myotis ricketti
Cluster1430,Myotis ricketti
Cluster1484,Myotis ricketti
Cluster1556,Myotis ricketti
Cluster1572,Myotis ricketti
Cluster1586,Myotis ricketti
Cluster1697,Myotis ricketti
Cluster1701,Myotis ricketti
Cluster1800,Myotis ricketti
Cluster1802,Myotis ricketti
Cluster1870,Myotis ricketti
Cluster1960,Myotis ricketti
Cluster1972,Myotis ricketti
Cluster2005,Myotis ricketti
Cluster2047,Myotis ricketti
Cluster2164,Myotis ricketti
Cluster2203,Myotis ricketti
Cluster2291,Myotis ricketti
Cluster2424,Myotis ricketti
Cluster2438,Myotis ricketti
Cluster2527,Myotis ricketti
Cluster2672,Myotis ricketti
Cluster2694,Myotis ricketti
Cluster2864,Myotis ricketti
Cluster2884,Myotis ricketti
Cluster3024,Myotis ricketti
Cluster3045,Myotis ricketti
Cluster3107,Myotis ricketti
Cluster3228,Myotis ricketti
Cluster3256,Myotis ricketti
Cluster3363,Myotis ricketti
Cluster3370,Myotis ricketti
Cluster3473,Myotis ricketti
Cluster3480,Myotis ricketti
Cluster3620,Myotis ricketti
Cluster3662,Myotis ricketti
Cluster3703,Myotis ricketti
Cluster3807,Myotis ricketti
Cluster4005,Myotis ricketti
Cluster4008,Myotis ricketti
Cluster4153,Myotis ricketti
Cluster4176,Myotis ricketti
Cluster4237,Myotis ricketti
Cluster4326,Myotis ricketti
Cluster4435,Myotis ricketti
Cluster4580,Myotis ricketti
Cluster4830,Myotis ricketti
Cluster4959,Myotis ricketti
Cluster4982,Myotis ricketti
Cluster5000,Myotis ricketti
Cluster5066,Myotis ricketti
Cluster5097,Myotis ricketti
Cluster5294,Myotis ricketti
Cluster5374,Myotis ricketti
Cluster5408,Myotis ricketti
Cluster5556,Myotis ricketti
Cluster5779,Myotis ricketti
Cluster5878,Myotis ricketti
Cluster5931,Myotis ricketti
Cluster6093,Myotis ricketti
Cluster6142,Myotis ricketti
Cluster6206,Myotis ricketti
Cluster6302,Myotis ricketti
Cluster6367,Myotis ricketti
Cluster6579,Myotis ricketti
Cluster6618,Myotis ricketti
Cluster6781,Myotis ricketti
Cluster6885,Myotis ricketti
Cluster6934,Myotis ricketti
Cluster6964,Myotis ricketti
Cluster7090,Myotis ricketti
Cluster7291,Myotis ricketti
Cluster7370,Myotis ricketti
Cluster7602,Myotis ricketti
Cluster7652,Myotis ricketti
Cluster7910,Myotis ricketti
Cluster8030,Myotis ricketti
Cluster8102,Myotis ricketti
Cluster8185,Myotis ricketti
Cluster8226,Myotis ricketti
Cluster8294,Myotis ricketti
Cluster8468,Myotis ricketti
Cluster8469,Myotis ricketti
Cluster8505,Myotis ricketti
Cluster8549,Myotis ricketti
Cluster8551,Myotis ricketti
Cluster8770,Myotis ricketti
Cluster8928,Myotis ricketti
Cluster8957,Myotis ricketti
Cluster9047,Myotis ricketti
Cluster9126,Myotis ricketti
Cluster9141,Myotis ricketti
Cluster9361,Myotis ricketti
Cluster9488,Myotis ricketti
Cluster9522,Myotis ricketti
Cluster9700,Myotis ricketti
Cluster9810,Myotis ricketti
Cluster9845,Myotis ricketti
Cluster9847,Myotis ricketti
Cluster9908,Myotis ricketti
Cluster10191,Myotis ricketti
Cluster10265,Myotis ricketti
Cluster10292,Myotis ricketti
Cluster10302,Myotis ricketti
Cluster10369,Myotis ricketti
Cluster10563,Myotis ricketti
Cluster10716,Myotis ricketti
Cluster10903,Myotis ricketti
Cluster10915,Myotis ricketti
Cluster11026,Myotis ricketti
Cluster11195,Myotis ricketti
Cluster11216,Myotis ricketti
Cluster11280,Myotis ricketti
Cluster11320,Myotis ricketti
Cluster11324,Myotis ricketti
Cluster11438,Myotis ricketti
Cluster11512,Myotis ricketti
Cluster11526,Myotis ricketti
Cluster11555,Myotis ricketti
Cluster11642,Myotis ricketti
Cluster11651,Myotis ricketti
Cluster11660,Myotis ricketti
Cluster11784,Myotis ricketti
Cluster11858,Myotis ricketti
Cluster11990,Myotis ricketti
Cluster12529,Myotis ricketti
Cluster12600,Myotis ricketti
Cluster12673,Myotis ricketti
Cluster12681,Myotis ricketti
Cluster12790,Myotis ricketti
Cluster12880,Myotis ricketti
Cluster68,Nyctalus plancyi
Cluster69,Nyctalus plancyi
Cluster70,Nyctalus plancyi
Cluster73,Nyctalus plancyi
Cluster81,Nyctalus plancyi
Cluster88,Nyctalus plancyi
Cluster122,Nyctalus plancyi
Cluster168,Nyctalus plancyi
Cluster213,Nyctalus plancyi
Cluster241,Nyctalus plancyi
Cluster254,Nyctalus plancyi
Cluster255,Nyctalus plancyi
Cluster256,Nyctalus plancyi
Cluster267,Nyctalus plancyi
Cluster299,Nyctalus plancyi
Cluster306,Nyctalus plancyi
Cluster314,Nyctalus plancyi
Cluster318,Nyctalus plancyi
Cluster323,Nyctalus plancyi
Cluster326,Nyctalus plancyi
Cluster340,Nyctalus plancyi
Cluster357,Nyctalus plancyi
Cluster363,Nyctalus plancyi
Cluster368,Nyctalus plancyi
Cluster384,Nyctalus plancyi
Cluster389,Nyctalus plancyi
Cluster401,Nyctalus plancyi
Cluster403,Nyctalus plancyi
Cluster412,Nyctalus plancyi
Cluster418,Nyctalus plancyi
Cluster419,Nyctalus plancyi
Cluster426,Nyctalus plancyi
Cluster436,Nyctalus plancyi
Cluster442,Nyctalus plancyi
Cluster447,Nyctalus plancyi
Cluster470,Nyctalus plancyi
Cluster479,Nyctalus plancyi
Cluster482,Nyctalus plancyi
Cluster520,Nyctalus plancyi
Cluster527,Nyctalus plancyi
Cluster531,Nyctalus plancyi
Cluster533,Nyctalus plancyi
Cluster558,Nyctalus plancyi
Cluster608,Nyctalus plancyi
Cluster665,Nyctalus plancyi
Cluster685,Nyctalus plancyi
Cluster693,Nyctalus plancyi
Cluster699,Nyctalus plancyi
Cluster701,Nyctalus plancyi
Cluster725,Nyctalus plancyi
Cluster747,Nyctalus plancyi
Cluster771,Nyctalus plancyi
Cluster784,Nyctalus plancyi
Cluster794,Nyctalus plancyi
Cluster825,Nyctalus plancyi
Cluster833,Nyctalus plancyi
Cluster844,Nyctalus plancyi
Cluster865,Nyctalus plancyi
Cluster906,Nyctalus plancyi
Cluster916,Nyctalus plancyi
Cluster924,Nyctalus plancyi
Cluster937,Nyctalus plancyi
Cluster976,Nyctalus plancyi
Cluster990,Nyctalus plancyi
Cluster998,Nyctalus plancyi
Cluster1004,Nyctalus plancyi
Cluster1024,Nyctalus plancyi
Cluster1037,Nyctalus plancyi
Cluster1041,Nyctalus plancyi
Cluster1072,Nyctalus plancyi
Cluster1090,Nyctalus plancyi
Cluster1126,Nyctalus plancyi
Cluster1142,Nyctalus plancyi
Cluster1150,Nyctalus plancyi
Cluster1155,Nyctalus plancyi
Cluster1172,Nyctalus plancyi
Cluster1214,Nyctalus plancyi
Cluster1217,Nyctalus plancyi
Cluster1243,Nyctalus plancyi
Cluster1247,Nyctalus plancyi
Cluster1264,Nyctalus plancyi
Cluster1265,Nyctalus plancyi
Cluster1290,Nyctalus plancyi
Cluster1302,Nyctalus plancyi
Cluster1303,Nyctalus plancyi
Cluster1309,Nyctalus plancyi
Cluster1330,Nyctalus plancyi
Cluster1378,Nyctalus plancyi
Cluster1528,Nyctalus plancyi
Cluster1543,Nyctalus plancyi
Cluster1593,Nyctalus plancyi
Cluster1598,Nyctalus plancyi
Cluster1650,Nyctalus plancyi
Cluster1652,Nyctalus plancyi
Cluster1677,Nyctalus plancyi
Cluster1684,Nyctalus plancyi
Cluster1728,Nyctalus plancyi
Cluster1737,Nyctalus plancyi
Cluster1835,Nyctalus plancyi
Cluster2002,Nyctalus plancyi
Cluster2151,Nyctalus plancyi
Cluster2165,Nyctalus plancyi
Cluster2177,Nyctalus plancyi
Cluster2231,Nyctalus plancyi
Cluster2254,Nyctalus plancyi
Cluster2256,Nyctalus plancyi
Cluster2257,Nyctalus plancyi
Cluster2266,Nyctalus plancyi
Cluster2271,Nyctalus plancyi
Cluster2279,Nyctalus plancyi
Cluster2305,Nyctalus plancyi
Cluster2322,Nyctalus plancyi
Cluster2331,Nyctalus plancyi
Cluster2337,Nyctalus plancyi
Cluster2365,Nyctalus plancyi
Cluster2386,Nyctalus plancyi
Cluster2430,Nyctalus plancyi
Cluster2437,Nyctalus plancyi
Cluster2443,Nyctalus plancyi
Cluster2451,Nyctalus plancyi
Cluster2456,Nyctalus plancyi
Cluster2470,Nyctalus plancyi
Cluster2503,Nyctalus plancyi
Cluster2510,Nyctalus plancyi
Cluster2528,Nyctalus plancyi
Cluster2594,Nyctalus plancyi
Cluster2598,Nyctalus plancyi
Cluster2614,Nyctalus plancyi
Cluster2682,Nyctalus plancyi
Cluster2684,Nyctalus plancyi
Cluster2713,Nyctalus plancyi
Cluster2780,Nyctalus plancyi
Cluster2811,Nyctalus plancyi
Cluster2906,Nyctalus plancyi
Cluster2907,Nyctalus plancyi
Cluster2922,Nyctalus plancyi
Cluster2929,Nyctalus plancyi
Cluster2953,Nyctalus plancyi
Cluster2988,Nyctalus plancyi
Cluster3039,Nyctalus plancyi
Cluster3078,Nyctalus plancyi
Cluster3116,Nyctalus plancyi
Cluster3180,Nyctalus plancyi
Cluster3210,Nyctalus plancyi
Cluster3221,Nyctalus plancyi
Cluster3233,Nyctalus plancyi
Cluster3240,Nyctalus plancyi
Cluster3279,Nyctalus plancyi
Cluster3282,Nyctalus plancyi
Cluster3322,Nyctalus plancyi
Cluster3327,Nyctalus plancyi
Cluster3401,Nyctalus plancyi
Cluster3408,Nyctalus plancyi
Cluster3431,Nyctalus plancyi
Cluster3443,Nyctalus plancyi
Cluster3445,Nyctalus plancyi
Cluster3575,Nyctalus plancyi
Cluster3576,Nyctalus plancyi
Cluster3588,Nyctalus plancyi
Cluster3594,Nyctalus plancyi
Cluster3647,Nyctalus plancyi
Cluster3715,Nyctalus plancyi
Cluster3720,Nyctalus plancyi
Cluster3849,Nyctalus plancyi
Cluster3890,Nyctalus plancyi
Cluster3893,Nyctalus plancyi
Cluster3912,Nyctalus plancyi
Cluster3937,Nyctalus plancyi
Cluster3938,Nyctalus plancyi
Cluster3968,Nyctalus plancyi
Cluster4011,Nyctalus plancyi
Cluster4028,Nyctalus plancyi
Cluster4031,Nyctalus plancyi
Cluster4068,Nyctalus plancyi
Cluster4122,Nyctalus plancyi
Cluster4145,Nyctalus plancyi
Cluster4222,Nyctalus plancyi
Cluster4266,Nyctalus plancyi
Cluster4291,Nyctalus plancyi
Cluster4338,Nyctalus plancyi
Cluster4355,Nyctalus plancyi
Cluster4357,Nyctalus plancyi
Cluster4364,Nyctalus plancyi
Cluster4366,Nyctalus plancyi
Cluster4376,Nyctalus plancyi
Cluster4382,Nyctalus plancyi
Cluster4404,Nyctalus plancyi
Cluster4411,Nyctalus plancyi
Cluster4417,Nyctalus plancyi
Cluster4428,Nyctalus plancyi
Cluster4432,Nyctalus plancyi
Cluster4455,Nyctalus plancyi
Cluster4468,Nyctalus plancyi
Cluster4470,Nyctalus plancyi
Cluster4486,Nyctalus plancyi
Cluster4491,Nyctalus plancyi
Cluster4576,Nyctalus plancyi
Cluster4578,Nyctalus plancyi
Cluster4607,Nyctalus plancyi
Cluster4665,Nyctalus plancyi
Cluster4707,Nyctalus plancyi
Cluster4717,Nyctalus plancyi
Cluster4739,Nyctalus plancyi
Cluster4759,Nyctalus plancyi
Cluster4789,Nyctalus plancyi
Cluster4795,Nyctalus plancyi
Cluster4799,Nyctalus plancyi
Cluster4835,Nyctalus plancyi
Cluster4847,Nyctalus plancyi
Cluster4873,Nyctalus plancyi
Cluster5005,Nyctalus plancyi
Cluster5036,Nyctalus plancyi
Cluster5047,Nyctalus plancyi
Cluster5104,Nyctalus plancyi
Cluster5117,Nyctalus plancyi
Cluster5119,Nyctalus plancyi
Cluster5129,Nyctalus plancyi
Cluster5132,Nyctalus plancyi
Cluster5166,Nyctalus plancyi
Cluster5183,Nyctalus plancyi
Cluster5185,Nyctalus plancyi
Cluster5229,Nyctalus plancyi
Cluster5280,Nyctalus plancyi
Cluster5298,Nyctalus plancyi
Cluster5308,Nyctalus plancyi
Cluster5358,Nyctalus plancyi
Cluster5371,Nyctalus plancyi
Cluster5382,Nyctalus plancyi
Cluster5396,Nyctalus plancyi
Cluster5399,Nyctalus plancyi
Cluster5490,Nyctalus plancyi
Cluster5519,Nyctalus plancyi
Cluster5525,Nyctalus plancyi
Cluster5545,Nyctalus plancyi
Cluster5598,Nyctalus plancyi
Cluster5599,Nyctalus plancyi
Cluster5634,Nyctalus plancyi
Cluster5636,Nyctalus plancyi
Cluster5658,Nyctalus plancyi
Cluster5733,Nyctalus plancyi
Cluster5794,Nyctalus plancyi
Cluster5811,Nyctalus plancyi
Cluster5821,Nyctalus plancyi
Cluster5859,Nyctalus plancyi
Cluster5916,Nyctalus plancyi
Cluster5933,Nyctalus plancyi
Cluster5999,Nyctalus plancyi
Cluster6070,Nyctalus plancyi
Cluster6085,Nyctalus plancyi
Cluster6182,Nyctalus plancyi
Cluster6187,Nyctalus plancyi
Cluster6333,Nyctalus plancyi
Cluster6397,Nyctalus plancyi
Cluster6423,Nyctalus plancyi
Cluster6432,Nyctalus plancyi
Cluster6446,Nyctalus plancyi
Cluster6479,Nyctalus plancyi
Cluster6624,Nyctalus plancyi
Cluster6627,Nyctalus plancyi
Cluster6629,Nyctalus plancyi
Cluster6657,Nyctalus plancyi
Cluster6664,Nyctalus plancyi
Cluster6684,Nyctalus plancyi
Cluster6787,Nyctalus plancyi
Cluster6874,Nyctalus plancyi
Cluster6890,Nyctalus plancyi
Cluster6894,Nyctalus plancyi
Cluster6928,Nyctalus plancyi
Cluster6935,Nyctalus plancyi
Cluster6979,Nyctalus plancyi
Cluster6984,Nyctalus plancyi
Cluster7218,Nyctalus plancyi
Cluster7235,Nyctalus plancyi
Cluster7243,Nyctalus plancyi
Cluster7290,Nyctalus plancyi
Cluster7324,Nyctalus plancyi
Cluster7335,Nyctalus plancyi
Cluster7349,Nyctalus plancyi
Cluster7366,Nyctalus plancyi
Cluster7398,Nyctalus plancyi
Cluster7415,Nyctalus plancyi
Cluster7420,Nyctalus plancyi
Cluster7608,Nyctalus plancyi
Cluster7684,Nyctalus plancyi
Cluster7705,Nyctalus plancyi
Cluster7741,Nyctalus plancyi
Cluster7747,Nyctalus plancyi
Cluster7793,Nyctalus plancyi
Cluster7797,Nyctalus plancyi
Cluster7800,Nyctalus plancyi
Cluster7854,Nyctalus plancyi
Cluster7899,Nyctalus plancyi
Cluster7909,Nyctalus plancyi
Cluster7931,Nyctalus plancyi
Cluster8017,Nyctalus plancyi
Cluster8086,Nyctalus plancyi
Cluster8105,Nyctalus plancyi
Cluster8150,Nyctalus plancyi
Cluster8154,Nyctalus plancyi
Cluster8193,Nyctalus plancyi
Cluster8215,Nyctalus plancyi
Cluster8224,Nyctalus plancyi
Cluster8246,Nyctalus plancyi
Cluster8318,Nyctalus plancyi
Cluster8425,Nyctalus plancyi
Cluster8453,Nyctalus plancyi
Cluster8579,Nyctalus plancyi
Cluster8587,Nyctalus plancyi
Cluster8611,Nyctalus plancyi
Cluster8615,Nyctalus plancyi
Cluster8624,Nyctalus plancyi
Cluster8647,Nyctalus plancyi
Cluster8656,Nyctalus plancyi
Cluster8752,Nyctalus plancyi
Cluster8795,Nyctalus plancyi
Cluster8823,Nyctalus plancyi
Cluster8827,Nyctalus plancyi
Cluster8877,Nyctalus plancyi
Cluster8942,Nyctalus plancyi
Cluster8947,Nyctalus plancyi
Cluster8959,Nyctalus plancyi
Cluster9000,Nyctalus plancyi
Cluster9014,Nyctalus plancyi
Cluster9023,Nyctalus plancyi
Cluster9050,Nyctalus plancyi
Cluster9069,Nyctalus plancyi
Cluster9079,Nyctalus plancyi
Cluster9188,Nyctalus plancyi
Cluster9209,Nyctalus plancyi
Cluster9272,Nyctalus plancyi
Cluster9319,Nyctalus plancyi
Cluster9416,Nyctalus plancyi
Cluster9459,Nyctalus plancyi
Cluster9489,Nyctalus plancyi
Cluster9495,Nyctalus plancyi
Cluster9498,Nyctalus plancyi
Cluster9581,Nyctalus plancyi
Cluster9596,Nyctalus plancyi
Cluster9602,Nyctalus plancyi
Cluster9625,Nyctalus plancyi
Cluster9653,Nyctalus plancyi
Cluster9656,Nyctalus plancyi
Cluster9669,Nyctalus plancyi
Cluster9689,Nyctalus plancyi
Cluster9767,Nyctalus plancyi
Cluster9772,Nyctalus plancyi
Cluster9779,Nyctalus plancyi
Cluster9807,Nyctalus plancyi
Cluster9809,Nyctalus plancyi
Cluster9815,Nyctalus plancyi
Cluster9865,Nyctalus plancyi
Cluster9886,Nyctalus plancyi
Cluster9903,Nyctalus plancyi
Cluster9946,Nyctalus plancyi
Cluster9949,Nyctalus plancyi
Cluster9969,Nyctalus plancyi
Cluster9972,Nyctalus plancyi
Cluster9977,Nyctalus plancyi
Cluster9984,Nyctalus plancyi
Cluster9985,Nyctalus plancyi
Cluster10016,Nyctalus plancyi
Cluster10064,Nyctalus plancyi
Cluster10070,Nyctalus plancyi
Cluster10132,Nyctalus plancyi
Cluster10133,Nyctalus plancyi
Cluster10137,Nyctalus plancyi
Cluster10163,Nyctalus plancyi
Cluster10178,Nyctalus plancyi
Cluster10204,Nyctalus plancyi
Cluster10263,Nyctalus plancyi
Cluster10309,Nyctalus plancyi
Cluster10370,Nyctalus plancyi
Cluster10378,Nyctalus plancyi
Cluster10550,Nyctalus plancyi
Cluster10584,Nyctalus plancyi
Cluster10597,Nyctalus plancyi
Cluster10658,Nyctalus plancyi
Cluster10671,Nyctalus plancyi
Cluster10679,Nyctalus plancyi
Cluster10707,Nyctalus plancyi
Cluster10743,Nyctalus plancyi
Cluster10752,Nyctalus plancyi
Cluster10765,Nyctalus plancyi
Cluster10776,Nyctalus plancyi
Cluster10821,Nyctalus plancyi
Cluster10938,Nyctalus plancyi
Cluster10941,Nyctalus plancyi
Cluster10971,Nyctalus plancyi
Cluster11028,Nyctalus plancyi
Cluster11068,Nyctalus plancyi
Cluster11073,Nyctalus plancyi
Cluster11082,Nyctalus plancyi
Cluster11146,Nyctalus plancyi
Cluster11149,Nyctalus plancyi
Cluster11154,Nyctalus plancyi
Cluster11176,Nyctalus plancyi
Cluster11193,Nyctalus plancyi
Cluster11204,Nyctalus plancyi
Cluster11221,Nyctalus plancyi
Cluster11238,Nyctalus plancyi
