Host,Viral Diversity,Zoonotic Species Count,Zoonotic Sequence Number,Viral Sequence Count,VD_norm,ZSC_norm,ZSN_corrected,ZSN_corrected_norm,VS_ln,VS_ln_norm,EWM_CRS,EWM_rank
Chaerephon plicatus,2,1,1,6,0.083333,0.5,0.513898,0.008873,1.94591,0.201616,0.169104,57
Eptesicus japonensis,1,1,5,5,0.0,0.5,2.790553,0.048182,1.791759,0.176807,0.166409,58
Rhinolophus acuminatus,1,1,5,5,0.0,0.5,2.790553,0.048182,1.791759,0.176807,0.166409,59
Pipistrellus inexspectatus,2,1,1,3,0.083333,0.5,0.721348,0.012455,1.386294,0.111553,0.161077,60
Plecotus auritus,1,1,4,4,0.0,0.5,2.48534,0.042912,1.609438,0.147465,0.160996,61
Eidolon helvum,4,0,0,998,0.25,0.0,0.0,0.0,6.906755,1.0,0.157837,62
Eptesicus isabellinus,2,1,1,2,0.083333,0.5,0.910239,0.015716,1.098612,0.065254,0.157567,63
Hipposideros gigas,2,1,1,2,0.083333,0.5,0.910239,0.015716,1.098612,0.065254,0.157567,64
Myotis pequinius,1,1,3,3,0.0,0.5,2.164043,0.037364,1.386294,0.111553,0.154763,65
Rhinolophus clivosus,1,1,3,3,0.0,0.5,2.164043,0.037364,1.386294,0.111553,0.154763,66
Hipposideros curtus,1,1,2,2,0.0,0.5,1.820478,0.031432,1.098612,0.065254,0.147258,67
Rhinolophus marshalli,1,1,2,2,0.0,0.5,1.820478,0.031432,1.098612,0.065254,0.147258,68
Coleura afra,1,1,1,1,0.0,0.5,1.442695,0.02491,0.693147,0.0,0.137479,69
Eptesicus nilssonii,1,1,1,1,0.0,0.5,1.442695,0.02491,0.693147,0.0,0.137479,70
Eumops glaucinus,1,1,1,1,0.0,0.5,1.442695,0.02491,0.693147,0.0,0.137479,71
Hipposideros vittatus,1,1,1,1,0.0,0.5,1.442695,0.02491,0.693147,0.0,0.137479,72
Nyctinomops laticaudatus,1,1,1,1,0.0,0.5,1.442695,0.02491,0.693147,0.0,0.137479,73
Rhinolophus blythi,1,1,1,1,0.0,0.5,1.442695,0.02491,0.693147,0.0,0.137479,74
Rhinolophus luctus,1,1,1,1,0.0,0.5,1.442695,0.02491,0.693147,0.0,0.137479,75
Vespertilio superans,1,1,1,1,0.0,0.5,1.442695,0.02491,0.693147,0.0,0.137479,76
Artibeus lituratus,7,0,0,12,0.5,0.0,0.0,0.0,2.564949,0.301242,0.134893,77
Mops condylurus,4,0,0,202,0.25,0.0,0.0,0.0,5.313206,0.743539,0.130544,78
Chalinolobus tuberculatus,7,0,0,8,0.5,0.0,0.0,0.0,2.197225,0.242062,0.128595,79
Miniopterus pusillus,4,0,0,155,0.25,0.0,0.0,0.0,5.049856,0.701156,0.126034,80
Cynopterus sphinx,5,0,0,42,0.333333,0.0,0.0,0.0,3.7612,0.493764,0.121102,81
Eonycteris spelaea,4,0,0,113,0.25,0.0,0.0,0.0,4.736198,0.650677,0.120662,82
Myotis myotis,5,0,0,38,0.333333,0.0,0.0,0.0,3.663562,0.47805,0.11943,83
Epomophorus gambianus,3,0,0,173,0.166667,0.0,0.0,0.0,5.159055,0.71873,0.110765,84
Rousettus leschenaultii,3,0,0,115,0.166667,0.0,0.0,0.0,4.75359,0.653476,0.103821,85
Pteropus lylei,3,0,0,86,0.166667,0.0,0.0,0.0,4.465908,0.607177,0.098894,86
