host_genus,pool_count
Rhinolophus,100
Pipistrellus,67
Myotis,30
Hipposideros,8
Nyctalus,8
Tylonycteris,6
Eptesicus,6
Aselliscus,3
Miniopterus,3
Murina,2
Scotophilus,1
Megaderma,1
Cynopterus,1
