Family,Anhui: Eptesicus serotinus,Anhui: Myotis fimbriatus,Anhui: Nyctalus plancyi,Anhui: Pipistrellus abramus,Fujian: Myotis ricketti,Fujian: Pipistrellus abramus,Fujian: Rhinolophus pusillus,Fujian: Scotophilus heathii,Guangdong: Cynopterus sphinx,Guangdong: Hipposideros armiger,Guangdong: Hipposideros cineraceus,Guangdong: Hipposideros larvatus,Guangdong: Megaderma lyra,Guangdong: Myotis chinensis,Guangdong: Myotis davidii,Guangdong: Myotis horsfieldii,Guangdong: Myotis indochinensis,Guangdong: Myotis laniger,Guangdong: Nyctalus plancyi,Guangdong: Pipistrellus abramus,Guangdong: Hypsugo pulveratus,Guangdong: Pipistrellus tenuis,Guangdong: Rhinolophus affinis,Guangdong: Rhinolophus luctus,Guangdong: Rhinolophus pearsonii,Guangdong: Rhinolophus pusillus,Guangdong: Rhinolophus sinicus,Guangdong: Tylonycteris fulvida,Guangdong: Tylonycteris pachypus,Guangdong: Tylonycteris robustula,Guangxi: Hipposideros larvatus,Guangxi: Myotis fimbriatus,Guangxi: Myotis horsfieldii,Guangxi: Myotis lucifugus,Guangxi: Pipistrellus abramus,Guangxi: Rhinolophus affinis,Guangxi: Rhinolophus pusillus,Guangxi: Rhinolophus sinicus,Guangxi: Tylonycteris fulvida,Guizhou: Aselliscus stoliczkanus,Guizhou: Hipposideros pratti,Guizhou: Murina leucogaster,Guizhou: Myotis daubentonii,Guizhou: Rhinolophus pusillus,Guizhou: Rhinolophus siamensis,Guizhou: Rhinolophus sinicus,Hubei: Rhinolophus sinicus,Sichuan: Rhinolophus pearsonii,Sichuan: Rhinolophus pusillus,Sichuan: Rhinolophus siamensis,Sichuan: Rhinolophus sinicus,Yunnan: Aselliscus stoliczkanus,Yunnan: Hipposideros pomona,Yunnan: Miniopterus schreibersii,Yunnan: Myotis daubentonii,Yunnan: Myotis spp.,Yunnan: Rhinolophus affinis,Yunnan: Rhinolophus luctus,Yunnan: Rhinolophus pearsonii,Yunnan: Rhinolophus pusillus,Yunnan: Rhinolophus rex,Yunnan: Rhinolophus siamensis,Yunnan: Rhinolophus sinicus,Zhejiang: Eptesicus serotinus,Zhejiang: Miniopterus schreibersii,Zhejiang: Murina huttoni,Zhejiang: Myotis fimbriatus,Zhejiang: Myotis formosus,Zhejiang: Nyctalus plancyi,Zhejiang: Pipistrellus abramus,Zhejiang: Rhinolophus ferrumequinum,Zhejiang: Rhinolophus pusillus
Solemoviridae,10.3324421850484,0.0,0.0,166.851669723492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,796.694279791176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.077541407366,0.0,0.0,0.0,0.0,0.0,0.0,85301.5440305678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.969143718636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4358121227964,0.0,16.525565307743,0.0,0.0,522.30387599799,0.0,0.0,603.516284152436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.470797097177
Luteoviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77243.0260062374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8442922805547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.243924382689
Polycipiviridae,210.9256184383,277.635402006312,440.043486661887,11945.0168506221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.438523530368,4976.37933568226,476.193147868141,0.0,0.0,0.0,511.910575171023,4274.1689603076,90.299003002871,0.0,0.0,20792.7574375186,0.0,406.079071913892,0.0,1512.01752506519,0.0,0.0,389.723383519173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.094695645109,0.0,0.0,220.749112855243,0.0,5759.28759810286,0.0,365.26892242942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6429.07581558188,53.4766915475649,0.0,0.0,0.0,0.0,0.0,0.0,42.083268064871,394.862002474107
Smacoviridae,20.0244482269041,0.0,0.0,405.162681147202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.9050518199117,0.0,0.0,350.175966115395,22.4989648765209,0.0,0.0,0.0,0.0,182.153690484099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41708.175599389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2823784871875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chrysoviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.953808563341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1315.84510325504,0.0,0.0,0.0,39400.6528345527,649.224496470323
Caliciviridae,34.000094648252,185.696046291527,0.0,0.0,358.830213503977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.375437767132,0.0,6151.93857599313,559.329618028719,0.0,0.0,0.0,0.0,0.0,29013.5995882674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3034.17962343371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.3276781457555,0.0,20.7964734429362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6911201692697,0.0,0.0,0.0,1685.63695995765,0.0,0.0,0.0,0.0,242.463616272308
Nodaviridae,0.0,7.23073355718079,0.0,731.187796336687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55553118772164,0.0,0.0,0.0,0.0,0.0,0.0,8.54680720145942,0.0,0.0,0.0,0.0,0.0,724.745114932709,0.0,1366.49805824689,0.0,0.0,0.0,0.0,0.0,0.0,8339.42497071226,0.0,0.0,0.0,0.0,24664.1729098892,0.0,198.126778203761,0.0,0.0,363.77586288392,0.0,0.0,0.0,0.0,310.713794159115,0.0,0.0,0.0,235.170759782038,0.0,12.1072718053256,0.0,0.0,63.8765981937008,0.0,0.0,2073.27465913164,0.0,0.0,0.0,0.0,0.0,0.0,194.721876922993,55.4098157481616,1940.58504526897
Hepeviridae,0.0,0.0,0.0,12771.2398833709,0.0,22024.3673851921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3869.44827612919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.801645311797,0.0,0.0,0.0,0.0,0.0,0.0,72.572201876747,0.0,0.0
Herpesviridae,0.0,0.0,0.0,31.531346920002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14743.6606089873,0.0,0.0,67.2888520285778,0.0,21709.2650119439,0.0,0.0,0.0,0.0,0.0,0.0,93.7921430913214
Genomoviridae,42.2906266036572,387.821901454894,67.2492833057601,1508.41382581843,0.0,0.0,0.0,0.0,0.0,0.0,60.6891645707783,0.0,0.0,0.0,0.0,31.6287723050309,661.477895745479,0.0,1925.29117399584,567.210597676115,0.0,0.0,0.0,221.89071123562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.269822942065,0.0,0.0,438.223551279003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.9126570951759,0.0,0.0,0.0,0.0,35.5958296942954,0.0,0.0,0.0,39.8013140362155,0.0,0.0,227.319191473416,0.0,0.0,0.0,60.0781915456772,7592.00986004059
