Family,Anhui: Eptesicus serotinus,Anhui: Myotis fimbriatus,Anhui: Nyctalus plancyi,Anhui: Pipistrellus abramus,Fujian: Myotis ricketti,Fujian: Pipistrellus abramus,Fujian: Rhinolophus pusillus,Fujian: Scotophilus heathii,Guangdong: Cynopterus sphinx,Guangdong: Hipposideros armiger,Guangdong: Hipposideros cineraceus,Guangdong: Hipposideros larvatus,Guangdong: Megaderma lyra,Guangdong: Myotis chinensis,Guangdong: Myotis davidii,Guangdong: Myotis horsfieldii,Guangdong: Myotis indochinensis,Guangdong: Myotis laniger,Guangdong: Nyctalus plancyi,Guangdong: Pipistrellus abramus,Guangdong: Hypsugo pulveratus,Guangdong: Pipistrellus tenuis,Guangdong: Rhinolophus affinis,Guangdong: Rhinolophus luctus,Guangdong: Rhinolophus pearsonii,Guangdong: Rhinolophus pusillus,Guangdong: Rhinolophus sinicus,Guangdong: Tylonycteris fulvida,Guangdong: Tylonycteris pachypus,Guangdong: Tylonycteris robustula,Guangxi: Hipposideros larvatus,Guangxi: Myotis fimbriatus,Guangxi: Myotis horsfieldii,Guangxi: Myotis lucifugus,Guangxi: Pipistrellus abramus,Guangxi: Rhinolophus affinis,Guangxi: Rhinolophus pusillus,Guangxi: Rhinolophus sinicus,Guangxi: Tylonycteris fulvida,Guizhou: Aselliscus stoliczkanus,Guizhou: Hipposideros pratti,Guizhou: Murina leucogaster,Guizhou: Myotis daubentonii,Guizhou: Rhinolophus pusillus,Guizhou: Rhinolophus siamensis,Guizhou: Rhinolophus sinicus,Hubei: Rhinolophus sinicus,Sichuan: Rhinolophus pearsonii,Sichuan: Rhinolophus pusillus,Sichuan: Rhinolophus siamensis,Sichuan: Rhinolophus sinicus,Yunnan: Aselliscus stoliczkanus,Yunnan: Hipposideros pomona,Yunnan: Miniopterus schreibersii,Yunnan: Myotis daubentonii,Yunnan: Myotis spp.,Yunnan: Rhinolophus affinis,Yunnan: Rhinolophus luctus,Yunnan: Rhinolophus pearsonii,Yunnan: Rhinolophus pusillus,Yunnan: Rhinolophus rex,Yunnan: Rhinolophus siamensis,Yunnan: Rhinolophus sinicus,Zhejiang: Eptesicus serotinus,Zhejiang: Miniopterus schreibersii,Zhejiang: Murina huttoni,Zhejiang: Myotis fimbriatus,Zhejiang: Myotis formosus,Zhejiang: Nyctalus plancyi,Zhejiang: Pipistrellus abramus,Zhejiang: Rhinolophus ferrumequinum,Zhejiang: Rhinolophus pusillus
Partitiviridae,0.0,129.404635720715,33.6772623753415,420.993283189434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2923.46044524415,0.0,0.0,0.0,0.0,0.0,64.614796520323,0.0,0.0,0.0,0.0,662.223672045473,993.581559319991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1267.82137386591,0.0,0.0,0.0,574.209991584542,0.0,56.665207222774,0.0,0.0,1011.03053014358,0.0,0.0,526.512719799253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.701880145796
Retroviridae,0.0,0.0,73.5133741486319,66.9241349894549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.734047178889,0.0,0.0,6295.39214383774,62.8761264010779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.379666145736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,979.229082427214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.9443988328885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.070141993443,0.0,32.1663485177473,97.8089597292089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.606448167589
Tymoviridae,0.0,7121.71283368807,0.0,10.8363281767135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.262217487968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paramyxoviridae,11.643792579894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.415278679123,0.0,0.0,48.7535624239004,0.0,0.0,0.0,0.0,0.0,0.0,6.82810498826976,0.0,25.9103717058741,0.0,0.0,3404.18691666544,824.089728042528,0.0,0.0,0.0,0.0,0.0,0.0,248.577533343203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5618905803892,0.0,67.3578950913573,273.189593577943,0.0,86.3097083314349,0.0,0.0,0.0,0.0,0.0,0.0,491.373671303426,0.0,0.0,0.0,0.0,0.0,0.0,112.101388414291,127.535575637872
Polyomaviridae,16.5974356947477,0.0,0.0,4479.3523401854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.692221785151,0.0,0.0,66.2242659294831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.012099173244,0.0,0.0
Poxviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.38842345773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2849.31026059984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.7527485611097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,942.772424634348
Mimiviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.623485433272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.852001056413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1754.71579870903,0.0,0.0,0.0,0.0,0.0,0.0,119.059818202682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.9537038330674,0.0,0.0,0.0
Chuviridae,10.8234855898036,0.0,0.0,75.1024544469091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2035.68549824259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.7871586826787,47.0907853694101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Narnaviridae,24.1247853297817,0.0,7.91483310769992,9.14847679615606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1658.2251986379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spinareoviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.869140160836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,958.107801494331,0.0,0.0
Picobirnaviridae,0.0,978.991342337605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.197965331211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anelloviridae,32.4630466738706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0687243932296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.581590097922,0.0,130.393226777256,0.0,0.0,142.674023250406,0.0,0.0,0.0,0.0,660.375864705844,0.0,0.0,0.0
Alphatetraviridae,0.0,0.0,0.0,4.05340038733758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.65290240129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solinviviridae,0.0,0.0,0.0,8.11144019457132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6206905102581,0.0,0.0,0.0,0.0,125.202654661834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7973006437677,0.0,0.0,0.0,0.0,210.980529937325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.4526595420161
Phasmaviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.241027933017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.4516748116388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flaviviridae,37.3045193030498,44.8368344913446,0.0,245.832110849555,0.0,0.0,0.0,0.0,0.0,0.0,51.8639311287147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8553210375767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobellviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.6534165783,0.0,0.0,0.0,0.0,0.0,17.3532693056379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botourmiaviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.393169372588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rhabdoviridae,9.02516880210425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5159868180556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0274669414852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virgaviridae,0.0,0.0,0.0,62.9045919977092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deltaflexiviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.8851942365578,0.0
Phenuiviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0465182977681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geminiviridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7586377353288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carmotetraviridae,0.0,0.0,0.0,9.91703696487767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
