Host,Zoonotic Sequence Number,EWM_rank,EWM_CRS,VD_norm,ZSC_norm,ZSN_corrected_norm,VS_ln_norm,CRS_P90,VD_P90,VD_P95,passes_CRS_P90_floor,passes_ZSN_floor,passes_path_A,passes_path_B,final_selected,selection_path,exclusion_reason
Hipposideros cineraceus,0,143,0.024083,0.083333,0.0,0.0,0.065254,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Kerivoula titania,0,144,0.024083,0.083333,0.0,0.0,0.065254,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Lonchorhina aurita,0,145,0.024083,0.083333,0.0,0.0,0.065254,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myotis ikonnikovi,0,146,0.024083,0.083333,0.0,0.0,0.065254,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myotis volans,0,147,0.024083,0.083333,0.0,0.0,0.065254,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Neoromicia nanus,0,148,0.024083,0.083333,0.0,0.0,0.065254,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rhinolophus simulator,0,149,0.024083,0.083333,0.0,0.0,0.065254,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Taphozous melanopogon,0,150,0.024083,0.083333,0.0,0.0,0.065254,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Murina leucogaster,0,151,0.021456,0.0,0.0,0.0,0.201616,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myonycteris torquata,0,152,0.021456,0.0,0.0,0.0,0.201616,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Epomophorus labiatus,0,153,0.018816,0.0,0.0,0.0,0.176807,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Epomophorus pusillus,0,154,0.018816,0.0,0.0,0.0,0.176807,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Eptesicus regulus,0,155,0.018816,0.0,0.0,0.0,0.176807,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Mops midas,0,156,0.018816,0.0,0.0,0.0,0.176807,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Nyctalus lasiopterus,0,157,0.018816,0.0,0.0,0.0,0.176807,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Cynopterus horsfieldii,0,158,0.015693,0.0,0.0,0.0,0.147465,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Dobsonia exoleta,0,159,0.015693,0.0,0.0,0.0,0.147465,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Hipposideros diadema,0,160,0.015693,0.0,0.0,0.0,0.147465,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Miniopterus minor,0,161,0.015693,0.0,0.0,0.0,0.147465,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Mystacina tuberculata,0,162,0.015693,0.0,0.0,0.0,0.147465,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rhinolophus coelophyllus,0,163,0.015693,0.0,0.0,0.0,0.147465,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Artibeus planirostris,0,164,0.011871,0.0,0.0,0.0,0.111553,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Dobsonia moluccensis,0,165,0.011871,0.0,0.0,0.0,0.111553,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Miniopterus australis,0,166,0.011871,0.0,0.0,0.0,0.111553,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Otomops harrisoni,0,167,0.011871,0.0,0.0,0.0,0.111553,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rhinolophus subbadius,0,168,0.011871,0.0,0.0,0.0,0.111553,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Anoura caudifer,0,169,0.006944,0.0,0.0,0.0,0.065254,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Carollia brevicauda,0,170,0.006944,0.0,0.0,0.0,0.065254,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Chalinolobus morio,0,171,0.006944,0.0,0.0,0.0,0.065254,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Diphylla ecaudata,0,172,0.006944,0.0,0.0,0.0,0.065254,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Dyacopterus spadiceus,0,173,0.006944,0.0,0.0,0.0,0.065254,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Eidolon dupreanum,0,174,0.006944,0.0,0.0,0.0,0.065254,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Epomops buettikoferi,0,175,0.006944,0.0,0.0,0.0,0.065254,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Glauconycteris variegata,0,176,0.006944,0.0,0.0,0.0,0.065254,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Hipposideros galeritus,0,177,0.006944,0.0,0.0,0.0,0.065254,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Macroglossus minimus,0,178,0.006944,0.0,0.0,0.0,0.065254,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myotis crypticus,0,179,0.006944,0.0,0.0,0.0,0.065254,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myotis punicus,0,180,0.006944,0.0,0.0,0.0,0.065254,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myotis welwitschii,0,181,0.006944,0.0,0.0,0.0,0.065254,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Pteropus dasymallus,0,182,0.006944,0.0,0.0,0.0,0.065254,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Pteropus poliocephalus,0,183,0.006944,0.0,0.0,0.0,0.065254,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Triaenops menamena,0,184,0.006944,0.0,0.0,0.0,0.065254,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Acerodon celebensis,0,185,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Artibeus cinereus,0,186,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Cardioderma cor,0,187,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Carollia sowelli,0,188,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Chaerephon leucogaster,0,189,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Falsistrellus mackenziei,0,190,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Gardnerycteris crenulatum,0,191,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Glauconycteris poensis,0,192,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Hipposideros bicolor,0,193,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Hipposideros cervinus,0,194,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Hipposideros commersoni,0,195,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Hipposideros terasensis,0,196,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Hypsugo alaschanicus,0,197,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Lichonycteris obscura,0,198,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Macroglossus sobrinus,0,199,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Megaerops ecaudatus,0,200,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Megaerops kusnotoi,0,201,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Megaerops niphanae,0,202,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Mesophylla macconnelli,0,203,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Miniopterus africanus,0,204,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Molossus currentium,0,205,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Murina cyclotis,0,206,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Murina huttoni,0,207,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myonycteris angolensis,0,208,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myotis bechsteinii,0,209,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myotis flavus,0,210,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myotis muricola,0,211,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myotis oxygnathus,0,212,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Nanonycteris veldkampii,0,213,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Neoromicia somalica,0,214,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Nyctalus leisleri,0,215,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Nyctalus velutinus,0,216,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Nycteris tragata,0,217,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Phyllostomus hastatus,0,218,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Platyrrhinus lineatus,0,219,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Ptenochirus jagori,0,220,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rhinolophus creaghi,0,221,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rhinolophus megaphyllus,0,222,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rhinolophus smithersi,0,223,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rhinonicteris aurantia,0,224,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Scotophilus nux,0,225,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Sturnira erythromos,0,226,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Tadarida brasiliensis,0,227,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Tylonycteris fulvida,0,228,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Vespadelus baverstocki,0,229,0.0,0.0,0.0,0.0,0.0,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
